Symbol  ,Price  ,Change  ,Change %  ,Volume  ,Avg Vol (3M)  ,Market Cap  ,P/E Ratio (TTM)  ,52 Wk Change %  ,52 Wk Range  ,Day Chart  
  FUTU Futu Holdings Limited  , 97.42 +11.74 (+13.71%) , +11.74 , +13.71% , 16.488M ,1.458M , 13.436B ,25.17 ,50.03% , ,   
  TAL TAL Education Group  , 11.89 +1.09 (+10.05%) , +1.09 , +10.05% , 33.501M ,6.168M , 7.182B ,148.56 ,18.42% , ,   
  SNMYF Suncorp Group Limited  , 11.40 +0.95 (+9.09%) , +0.95 , +9.09% ," 18,826 ",201 , 15.794B ,24.26 ,31.03% , ,   
  ZK ZEEKR Intelligent Technology Holding Limited  , 22.96 +1.87 (+8.87%) , +1.87 , +8.87% , 2.805M ,"518,930 ", 5.685B ,- ,-25.37% , ,   
"  EMBVF Arca Continental, S.A.B. de C.V.  ", 9.64 +0.74 (+8.26%) , +0.74 , +8.26% ," 39,825 ","2,371 ", 16.401B ,17.21 ,5.65% , ,   
  DJTWW Trump Media & Technology Group Corp.  , 10.26 +0.76 (+8.00%) , +0.76 , +8.00% ," 121,817 ","323,020 ", 3.189B ,- ,-60.08% , ,   
  LKNCY Luckin Coffee Inc.  , 25.84 +1.84 (+7.67%) , +1.84 , +7.67% , 2.402M ,1.737M , 7.256B ,28.09 ,-32.78% , ,   
  CORT Corcept Therapeutics Incorporated  , 46.83 +2.90 (+6.61%) , +2.90 , +6.61% ," 669,000 ","839,785 ", 4.894B ,41.45 ,67.10% , ,   
"  RPD Rapid7, Inc.  ", 39.77 +2.41 (+6.45%) , +2.41 , +6.45% ," 546,163 ","709,268 ", 2.495B ,- ,-19.29% , ,   
  DJT Trump Media & Technology Group Corp.  , 15.70 +0.95 (+6.44%) , +0.95 , +6.44% , 11.618M ,9.182M , 3.142B ,- ,-4.41% , ,   
"  RNA Avidity Biosciences, Inc.  ", 44.85 +2.52 (+5.95%) , +2.52 , +5.95% ," 417,738 ",1.448M , 5.302B ,- ,612.63% , ,   
  NIO NIO Inc.  , 6.91 +0.39 (+5.99%) , +0.39 , +5.99% , 177.428M ,53.094M , 13.741B ,- ,-25.82% , ,   
  ZTO ZTO Express (Cayman) Inc.  , 25.42 +1.30 (+5.39%) , +1.30 , +5.39% , 4.871M ,2.545M , 20.556B ,17.18 ,-0.08% , ,   
